,hb_date,hb_people,hb_time
0,13,0,360
1,13,218,370
2,13,101,375
3,13,209,380
4,13,106,385
5,13,318,390
6,13,164,395
7,13,570,400
8,13,226,405
9,13,570,410
10,13,513,415
11,13,439,420
12,13,357,425
13,13,307,430
14,13,274,435
15,13,350,440
16,13,353,445
17,13,597,450
18,13,562,455
19,13,317,460
20,13,278,465
21,13,366,470
22,13,178,475
23,13,445,480
24,13,257,485
25,13,678,490
26,13,188,495
27,13,173,500
28,13,147,505
29,13,250,510
30,13,152,515
31,13,43,520
32,13,111,525
33,13,174,530
34,13,198,535
35,13,527,540
36,13,231,545
37,13,0,550
38,13,300,555
39,13,391,560
40,13,247,565
41,13,198,570
42,13,377,575
43,13,92,580
44,13,328,585
45,13,172,590
46,13,0,595
47,13,450,600
48,13,147,605
49,13,427,610
50,13,216,615
51,13,308,620
52,13,193,625
53,13,364,630
54,13,548,635
55,13,0,640
56,13,162,645
57,13,100,650
58,13,358,655
59,13,381,660
60,13,418,670
61,13,481,675
62,13,124,680
63,13,245,685
64,13,213,690
65,13,294,695
66,13,182,700
67,13,95,705
68,13,200,710
69,13,383,715
70,13,496,720
71,13,342,725
72,13,199,730
73,13,32,735
74,13,368,740
75,13,228,745
76,13,413,750
77,13,413,755
78,13,84,760
79,13,301,765
80,13,272,770
81,13,416,775
82,13,175,780
83,13,230,785
84,13,410,790
85,13,263,795
86,13,318,800
87,13,275,805
88,13,262,810
89,13,194,815
90,13,201,820
91,13,296,825
92,13,278,830
93,13,411,835
94,13,146,840
95,13,345,845
96,13,174,850
97,13,98,855
98,13,240,860
99,13,172,870
100,13,337,875
101,13,117,880
102,13,274,885
103,13,308,890
104,13,355,895
105,13,702,900
106,13,0,905
107,13,195,910
108,13,377,915
109,13,126,920
110,13,168,925
111,13,120,930
112,13,257,935
113,13,140,940
114,13,0,945
115,13,221,950
116,13,369,955
117,13,404,960
118,13,299,965
119,13,219,970
120,13,430,975
121,13,490,980
122,13,0,985
123,13,152,990
124,13,315,995
125,13,548,1000
126,13,134,1005
127,13,307,1010
128,13,104,1015
129,13,513,1020
130,13,469,1025
131,13,383,1030
132,13,377,1040
133,13,65,1045
134,13,188,1050
135,13,116,1055
136,13,354,1060
137,13,259,1065
138,13,254,1070
139,13,485,1075
140,13,176,1080
141,13,218,1085
142,13,551,1090
143,13,377,1095
144,13,96,1100
145,13,352,1105
146,13,807,1110
147,13,332,1115
148,13,231,1120
149,13,0,1125
150,13,225,1130
151,13,384,1135
152,13,210,1140
153,13,235,1145
154,13,215,1150
155,13,83,1155
156,13,338,1160
157,13,489,1165
158,13,389,1170
159,13,104,1175
160,13,275,1180
161,13,122,1185
162,13,258,1190
163,13,284,1195
164,13,530,1200
165,13,293,1205
166,13,426,1210
167,13,493,1215
168,13,206,1220
169,13,0,1225
170,13,225,1230
171,13,403,1240
172,13,286,1245
173,13,208,1250
174,13,199,1255
175,13,299,1260
176,13,133,1265
177,13,161,1270
178,13,442,1275
179,13,143,1280
180,13,324,1285
181,13,426,1290
182,13,0,1295
183,13,115,1310
184,13,265,1315
185,13,136,1320
186,13,479,1325
187,13,280,1330
188,13,118,1340
189,13,284,1350
190,13,391,1355
191,13,148,1370
192,13,325,1380
193,13,85,1385
194,13,131,1390
195,13,1,1400
196,13,268,1405
197,13,0,1410
198,13,171,1420
199,13,154,1430
0,14,0,360
1,14,194,370
2,14,87,375
