,SCHETIME
0,1115
11,1245
27,415
57,555
87,1120
194,855
197,740
222,1130
235,425
385,1310
403,630
492,1075
494,635
516,680
567,1160
585,605
722,1170
833,675
1352,1060
1424,1050
1466,655
1491,1190
1543,620
1568,810
1768,460
1792,970
1948,1430
1961,515
2075,960
2207,500
2882,910
3049,580
3179,1285
3181,505
3216,685
3263,405
3341,1260
3420,570
3460,585
3493,695
3684,435
3744,470
3790,995
4004,990
4095,1355
4117,1255
4140,920
4158,1155
4438,765
4443,485
4798,795
4990,835
5220,455
5275,590
5399,950
5469,610
5552,1110
5676,535
5697,1105
6002,1350
6291,885
6379,955
6508,775
6939,430
7235,1250
7393,600
7414,1135
7497,560
7567,820
7643,510
7644,1420
7746,1280
7867,545
8032,1320
8072,1275
8336,540
8383,575
8815,390
8819,1150
8960,710
9041,520
9086,915
9729,1145
9778,890
10192,450
10817,715
10959,1000
10993,1205
11056,625
11514,650
11818,1265
12365,1290
12911,720
13127,565
13252,1085
13322,615
13797,770
13803,875
13867,1210
14445,825
14486,1090
14616,785
15023,930
15064,1315
15321,1380
15559,750
15658,800
15809,445
15955,1070
16235,730
16358,1240
16360,1325
16496,830
16542,705
16897,805
17175,850
17440,860
17871,980
18175,1040
18188,935
18468,755
18541,700
19212,1215
19685,1015
19958,790
20473,1005
20674,1175
20758,1180
21231,975
21793,1270
21885,1185
22309,1020
22478,465
22839,845
22872,1370
22986,940
23312,1165
23331,645
23601,780
23954,1045
24475,745
24542,1330
24658,1340
24955,1195
26003,1025
26693,965
26779,1405
27552,815
27735,725
29628,880
29631,760
30005,1095
30126,1220
30294,1390
30635,660
30908,380
31611,490
32257,925
32390,1055
32435,735
32525,410
32535,1140
32776,1030
32862,495
33580,1100
33781,1200
33877,1080
33977,395
34491,400
35814,440
36572,895
36952,870
37162,900
37883,420
37906,1400
37907,690
38002,480
38398,1230
39393,375
39424,370
40203,385
41475,670
43368,840
44764,530
45485,1385
46323,1010
47749,1065
48335,475
51984,525
69992,945
77488,905
81828,1225
84176,985
95967,550
102985,1125
131726,1295
256728,1410
269441,595
270223,640
273822,360
